,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,Luanda,-8.84,13.23,73.4,83,75,8.05,AO,1601447318
354,Lüderitz,-26.65,15.16,60.55,52,0,19.06,NA,1601447552
355,Ludvika,60.15,15.19,52.0,100,0,2.44,SE,1601447552
356,Luganville,-15.53,167.17,80.6,74,75,6.93,VU,1601447552
357,Lukhovitsy,54.97,39.04,55.0,52,100,5.99,RU,1601447553
358,Luwingu,-10.26,29.93,83.55,40,58,3.6,ZM,1601447553
359,Lyubech,51.7,30.66,56.95,62,100,19.01,UA,1601447553
360,Mackenzie,55.3,-123.17,39.2,93,1,1.83,CA,1601447408
361,Madimba,-10.4,40.33,73.4,94,20,5.82,TZ,1601447554
362,Magistral'nyy,56.17,107.45,36.0,84,100,8.55,RU,1601447554
363,Mahébourg,-20.41,57.7,75.2,78,75,12.75,MU,1601447362
364,Mahibadhoo,3.78,72.97,82.72,74,100,8.52,MV,1601447555
365,Makakilo City,21.35,-158.09,80.01,65,40,3.36,US,1601447555
366,Malé,4.17,73.51,87.8,74,75,8.05,MV,1601447555
367,Manbij,36.53,37.95,77.0,44,0,13.31,SY,1601447555
368,Mandera,3.94,41.87,85.82,48,65,13.27,KE,1601447556
369,Mangaratiba,-22.96,-44.04,71.6,88,40,4.7,BR,1601447556
370,Manggar,-2.88,108.27,83.79,75,3,12.97,ID,1601447556
371,Manta,-0.95,-80.73,71.6,83,90,11.41,EC,1601447557
372,Manzhouli,49.6,117.43,53.74,42,100,9.73,CN,1601447557
373,Mar del Plata,-38.0,-57.56,53.6,87,29,10.29,AR,1601447339
